Product_Id P,Name P,Description P,Category P,Unit_Of_Measure P,Units_Per_Carton P,Initial_Purchase_Price,Default_Store P,Opening_Balance P,Action
2673964f,لفه سلك 2 مللي فيتنام,,سلك فيتنام,قطعة,,825,,,
fc08e4d0,لفه سلك 1 ونص مللي فيتنام,,سلك فيتنام,قطعة,,625,,,
cf95adbe,شاسيه اسبوط هامر مربع اسود. اسود افينا,,شاسيه اسبوط,قطعة,,24,,,
ea859cb8,شاسيه اسبوط فلات ابيض. زهبي افينا,,شاسيه اسبوط,قطعة,,19.5,,,
dabd1fac,شاسيه اسبوط كلاسيك مجوز اسود. اسود افينا,,شاسيه اسبوط,قطعة,,44.5,,,
dbc2c136,شاسيه اسبوط ثنائي فلات اسود. اسود افينا,,شاسيه اسبوط,قطعة,,44,,,
7e728ff5,وش باطار فورا,,فورا,قطعة,,14.35,,,
dd86c37c,بكره بروفايل علي الطاير,,بكره بروفايل,قطعة,,310,,,
6f683748,بكره بروفايل الوان,,بكره بروفايل,قطعة,,95,,,
52e3a337,شاسيه اسبوط ثنائي فلات ابيض. زهبي افينا,,شاسيه اسبوط,قطعة,,43,,,
cc3414c7,وش الوان مشكل فورا,,فورا,قطعة,,14.6,,,
8b886cdf,شاسيه اسبوط ثنائي هامر اسود. اسود افينا,,شاسيه اسبوط,قطعة,,48,,,
00747b58,مفتاح خط ثنائي فورا,,مفتاح خط,قطعة,,188,,,
cfb75a30,شاسيه اسبوط كلاسيك مدور ابيض. ابيض افينا,,شاسيه اسبوط,قطعة,,15.25,,,
6a32c1f7,لفه سلك 35 مللي المونيوم سويدكس,,سلك سودكس,قطعة,,1150,,,
d00f0c13,لفه سلك 70 مللي المونيوم المصريه,,سلك المصريه,قطعة,,8050,,,
e5360f9a,لفه سلك 35 مللي المونيوم سويدي,,سلك السويدي,قطعة,,3100,,,
be480f68,لفه سلك 25 مللي المونيوم سويدي,,سلك سويدي,قطعة,,950,,,
ff6f16ce,لفه سلك 16 مللي المونيوم سويدي,,سلك السويدي,قطعة,,700,,,
3505cd8a,لفه سلك 35 مللي المونيوم سويدكس,,سلك سويدكس,قطعة,,4110,,,
2f5ff156,لفه سلك 35 مللي المونيوم اشنيدر,,سلك اشنيدر,قطعة,,3100,,,
49318bcb,لفه سلك 2.4 ترمو المصريه,,سلك ترمو,قطعة,,3450,,,
309cdc78,لفه سلك تليفون عاده سويدي,,سلك تليفون,قطعة,,215,,,
c89191b3,لفه سلك نص مللي مجدول الدلتا,,سلك مجدول,قطعة,,360,,,
801b4094,لفه سلك نص مللي الاوربيه,,سلك مجدول,قطعة,,350,,,
bc184c9b,لفه سلك ترمو 1 مللي الدلتا,,سلك ترمو,قطعة,,732,,,
4d705ecd,لفه سلك نص مللي المصريه,,سلك مجدول,قطعة,,240,,,
4e94e299,عازل صيني,,عازل,قطعة,,21.5,,,
82416a19,اسبوط عين كتكوت,,اسبوط عين كتكوت,قطعة,,28,,,
2ab94765,لفه سلك 1 ونص مللي  90 متر سويدي,,سلك سويدي,قطعة,,460,,,
69d900d0,لفه سلك 2 مللي 90 متر سويدي,,سلك سويدي,قطعة,,650,,,
796d151d,بلوفنيرا 24 وات الترا,,بلوفنيرا,قطعة,,119,,,
e386a129,لفه سلك 3 مللي 90 متر سويدي,,سلك سويدي,قطعة,,1350,,,
988859ff,لفه سلك 6 مللي 90 متر سويدي,,سلك سويدي,قطعة,,2200,,,
3ef81689,لفه سلك 4 مللي سويدكس,,سلك سويدكس,قطعة,,2900,,,
c78a4f65,لفه سلك 6 مللي سويدكس,,سلك سويدكس,قطعة,,4250,,,
74f60e42,لفه سلك 3 مللي سويدكس,,سلك سويدكس,قطعة,,2230,,,
d1a28de0,لفه سلك 1ونص مللي سويدكس,,سلك سويدكس,قطعة,,1115,,,
2287c15d,لفه سلك 1 مللي ونص المصريه,,سلك المصريه,قطعة,,660,,,
73a3518d,لفه سلك 2 مللي المصريه,,سلك المصريه,قطعة,,1130,,,
d31d25e1,لفه سلك 6 مللي المصريه,,سلك المصريه,قطعة,,3250,,,
9c8cba3d,لمبه سهاره الوان بيرو,,لمبات,قطعة,,6,,,
215c7356,لمبه كراويه وررم,,لمبات,قطعة,,12,,,
a804400e,لمبه كراويه ابيض,,لمبات,قطعة,,9,,,
b0e82823,لمبه بلحه ابيض,,لمبه بلحه,قطعة,,,,,
7c7ecd14,لمبه بلحه وررم,,لمبه بلحه,قطعة,,6,,,
99d0b9ae,لمبه كراويه كامري,,لمبه كراويه,قطعة,,7,,,
3abe1409,وصله 2.1,,وصله,قطعة,,16,,,
cb63b741,وش فينوس الوان,,فينوس,قطعة,,11.5,,,
449ce7a1,دوايه بلسلك الوسام,,دوايه بلسلك,قطعة,,6.5,,,
e56322d4,شاحن رسيفر,,شاحن رسيفر,قطعة,,34,,,
e766952d,شاحن سخان,,شاحن سخان,قطعة,,34,,,
b526a9e8,لوحه 12 خط الوسام,,لوحات,قطعة,,127,,,
1d3f86f6,لوحه 4 خط الوسام,,لوحات,قطعة,,46,,,
287b1ec6,علبه كلابس 16 مللي,,علبه كلابس,قطعة,,34,,,
67379f63,وش 1.2.3فتحه بورسعيدي زهبي,,وش بورسعيدي,قطعة,,7,,,
729a973f,وش 1.2.3 فتحه خشبي بورسعيدي,,وش بورسعيدي,قطعة,,6.8,,,
9a9c6631,سكينه حراري 2..62,,سكينه,قطعة,,115,,,
2906959c,مفتاح باتشينو 2 فاز خارج,,مفتاح خارج,قطعة,,120,,,
98c5a7e5,علبه خارج 3 خط,,علبه خارج,قطعة,,9.5,,,
a2fce1e8,علبه كلابس 12 مللي,,علبه كلابس,قطعة,,19,,,
cf441550,بليه 6003,,بليه 6203,قطعة,,14,,,
a4380baa,علبه كلابس 10 مللي,,علبه كلابس,قطعة,,16,,,
a570e540,جهاز حمايه فينسيا,,جهاز حمايه,قطعة,,270,,,
843ad3ad,دوايه بكتوني قلاوظ,,دوايه بكتوني,قطعة,,8.5,,,
82df6357,دايره ريموت rgb,,دايره ريموت,قطعة,,6,,,
6a36b97d,دوايه جوليت,,دوايه جوليت,قطعة,,22,,,
af922d7f,علبه كلابس 6 مللي,,علبه كلابس,قطعة,,13,,,
f6ccdc93,علبه كلابس 8 مللي,,علبه كلابس,قطعة,,16,,,
6a68ea95,علبه بريزه خارج ديوان,,بريزه خارج,قطعة,,5,,,
d9b7a098,باكو شريط لحام كبير,,باكو شريط لحام,قطعة,,130,,,
daebcd98,مفتاح 45 علي علبه ديوان,,ديوان,قطعة,,90,,,
76151d5c,اسبوط عين جمل اطلاي,,اسبوط عين جمل,قطعة,,27,,,
344ba8b9,كشاف 100 وات هيمي,,كشاف,قطعة,,675,,,
114b5c34,كشاف 200 وات هيمي,,كشاف,قطعة,,1350,,,
39c4e1f0,كشاف 150 وات هيمي,,كشاف,قطعة,,1100,,,
0af0622c,كشاف 100 وات نيو ماكس,,كشاف,قطعة,,340,,,
848785d4,كشاف 50 وات ميديل لايت,,كشاف,قطعة,,280,,,
72a56dab,لفه شيلد 50 نيولايف,,شيلد,قطعة,,115,,,
f0b733f7,دوايه ليد الفاروق,,دوايه ليد,قطعة,,52,,,
84863302,لفه شيلد 100 متر سوجو,,شيلد,قطعة,,570,,,
4675b6ac,مشترك 10 متر مستطيل,,مشترك,قطعة,,38,,,
bab26a9e,مشترك 5 متر مستطيل,,مشترك,قطعة,,34,,,
2dab3239,لفه شيلد شفاف 100 متر,,شيلد,قطعة,,425,,,
5559010f,لفه شيلد 100 متر 96 شعرايه سفن استار,,شيلد,قطعة,,550,,,
6d49e5cf,عدسه ٢ مخرج,,عدسات,قطعة,,80,,,
26f8637f,لفه شيلد 300 متر,,شيلد,قطعة,,1050,,,
cdbf0907,عدسه ١ مخرج,,عدسات,قطعة,,40,,,
ac5b0b46,لفه شيلد 30 متر سفن استار,,شيلد,قطعة,,48,,,
3df2e286,لفه شيلد 20 متر سفن  استار,,شيلد,قطعة,,43,,,
3f6ec85d,لفه شيلد كاميرات 300 متر,,لفه سلك كاميرات,قطعة,,1850,,,
05fb6080,وصله علبه ماجيك افينا,,وصله,قطعة,,2.9,,,
d3a61bfe,لوحه 24 خط سيجا ام,,لوحات,قطعة,,1040,,,
e016ca16,دوايه بكتوني قلاوظ,,دوايه بكتوني,قطعة,,8.5,,,
bb4e7624,لمبه تلاجه,,لمبه تلاجه,قطعة,,9,,,
659ba8c7,باره اوميجا,,باره اوميجا,قطعة,,45,,,
6df33e73,فيشه نتايه هيرو,,فيشه,قطعة,,10.75,,,
082b074c,بريزه خارج مدور هيمي,,بريزه خارج,قطعة,,14,,,
3055bf56,بريزه بغطاء خارج هيرو,,بريزه خارج بغطاء,قطعة,,24,,,
17f98a8f,مشترك ام كي هيرو,,مشترك,قطعة,,11.5,,,
13d172bb,فيشه نتايه عاديه براميدز,,فيشه براميدز,قطعة,,3.9,,,
c4319943,جرس خارج لاكوست,,جرس خارج,قطعة,,33,,,
91bb27c8,شاسيه فورا,,فورا,قطعة,,7.7,,,
c5af814e,سداده ابيض فورا,,فورا,قطعة,,2.3,,,
66c991bc,دوايه قلاوظ اسود براميدز,,دوايه قلاوظ,قطعة,,6.5,,,
d8add1be,جرس بيانو خارج,,جرس خارج,قطعة,,64,,,
532f72cd,لفه سلك تليفون عاده سويدي,,سلك تليفون,قطعة,,215,,,
240cc619,لفه سلك سماعه 1 مللي انتومنيوم,,سلك سماعه,قطعة,,230,,,
5e161df6,م +ب ابيض فورا,,فورا,قطعة,,15.5,,,
4ae99632,لفه سلك سماعه نص مللي صيني,,سلك سماعه,قطعة,,240,,,
f57b0401,م+ب اسود فورا,,فورا,قطعة,,14.5,,,
10ee5490,سداده اسود فورا,,فورا,قطعة,,2.3,,,
4832b861,بريزه مجوفه ابيض فورا,,فورا,قطعة,,48,,,
17a6c3f7,بريزه ام كي ابيض فورا,,فورا,قطعة,,47.6,,,
a3eb59ef,لفه سلك 1 ونص مللي المصريه,,سلك المصريه,قطعة,,660,,,
88f1e823,لفه سلك 2 مللي المصريه,,سلك المصريه,قطعة,,1130,,,
03001cfb,لفه سلك 10 مللي سويدي نحاس,,سلك نحاس السويدي,قطعة,,5200,,,
2bb1363a,بلوفنيرا 36 خارج مضغوط ديوان,,بلوفنيرا,قطعة,,105,,,
49e94e6f,شاسيه اسبوط مفرد ديوان,,شاسيه اسبوط,قطعة,,11.75,,,
0eaa53b0,اب داون 1 لمبه,,اب داون,قطعة,,27,,,
5910608b,حامل شاشه صغير خفيف,,حامل شاشه,قطعة,,32,,,
2aa243c2,شاسيه فينوس,,فينوس,قطعة,,8.5,,,
71f8e6d5,بكره نت 300 متر فورا,,سلك نت,قطعة,,1620,,,
c9df5ade,بكره نت300 متر  اطلاي,,سلك نت,قطعة,,1150,,,
33c005e7,مفتاح ماجيك,,قطع ماجيك,قطعة,,9.5,,,
a4f93664,لمبه بلحه وررم بيرو,,لمبه بلحه,قطعة,,6,,,
ae196cfa,لمبه كراويه الوان,,لمبه كراويه,قطعة,,12,,,
1939b876,لمبه كراويه ابيض,,لمبه كراويه,قطعة,,12,,,
19d1dc95,لمبه بلحه ابيض,,لمبه بلحه,قطعة,,7,,,
47fb2bfa,لمبه كراويه وررم,,لمبه كراويه,قطعة,,12,,,
d9fb2d1d,لمبه كراويه كامري,,لمبه كراويه,قطعة,,6,,,
d738ed5c,لمبه بلحه كامري ابيض,,لمبه بلحه,قطعة,,6,,,
8622d1c9,اسبوط عين بقره مستطيل ديوان,,اسبوط عين بقره,قطعة,,110,,,
fe3c9165,مفتاح مجوز ابيض فورا,,فورا,قطعة,,43,,,
a0df8943,مفتاح بلمبه ابيض فورا,,فورا,قطعة,,24.5,,,
8548aeb2,ضاغط جرس ابيض فورا,,فورا,قطعة,,21.7,,,
729c714f,وش باطار فورا,,فورا,قطعة,,14.35,,,
d7f0a8ae,وش الوان مشكل فورا,,فورا,قطعة,,14.6,,,
1226a827,جرس لاسلكي,,جرس لاسلكي,قطعة,,115,,,
37a17065,شاسيه ماجيك حديد,,قطع ماجيك,قطعة,,3,,,
010867b2,مفتاح دفاتير ابيض فورا,,فورا,قطعة,,28.5,,,
93e795d9,مفتاح فوليم مروحه ابيض فورا,,فورا,قطعة,,141,,,
dfdcd9ea,مفتاح فوليم مروحه ابيض فورا,,فورا,قطعة,,141,,,
b6e65737,مفتاح فوليم مروحه اسود فورا,,فورا,قطعة,,141,,,
aec27765,قطعه نت 8 طرف ابيض فورا,,فورا,قطعة,,73.5,,,
909a4670,مفتاح 2 فاز 20 امبير ابيض فورا,,فورا,قطعة,,98.5,,,
8f6c979d,مفتاح ديجاتوري ابيض فورا,,فورا,قطعة,,70,,,
77bee147,قطعه يو اس بي ابيض فورا,,فورا,قطعة,,262.5,,,
fc14fee6,مفتاح بلمبه اسود فورا,,فورا,قطعة,,24.5,,,
7541af7b,اسبوط حوض وش,,اسبوط حوض وش,قطعة,,88,,,
fb8102a6,دفاتير اسود فورا,,فورا,قطعة,,28.5,,,
994484c7,فيشه دكر فور لايت,,فيشه,قطعة,,14,,,
fac5175b,مفتاح مجوز اسود فورا,,فورا,قطعة,,43.5,,,
d64732df,ضاغط جرس اسود فورا,,فورا,قطعة,,21.6,,,
7f7869df,مشترك ام كي هيمي,,مشترك,قطعة,,16,,,
d15ca551,مشترك ثلاثي هيمي,,مشترك,قطعة,,7.5,,,
3556533e,قطعه نت 8 طرف اسود فورا,,فورا,قطعة,,73.5,,,
158058b5,رسيفرسفن ستار,,رسيفر,قطعة,,450,,,
3e34ab69,مفتاح مروحه هيرو,,مفتاح مروحه,قطعة,,75,,,
a33da24d,مشترك اطلاي سعودي,,مشترك,قطعة,,36,,,
4a1d60e8,مشترك 2 متر عضم سندباد,,مشترك,قطعة,,72,,,
d110c837,بكره بروفايل علي الطاير وررم,,بكره بروفايل,قطعة,,310,,,
c4d8e679,بكره بروفايل وررم,,بكره بروفايل,قطعة,,95,,,
00d62200,مشترك 2 متر عضم اناره,,مشترك,قطعة,,72,,,
d2a67184,مفتاح 100 مولدن فورا,,فورا,قطعة,,1345,,,
9a796014,مفتاح 160 مولدن فورا,,فورا,قطعة,,1850,,,
c9a2ab42,مفتاح خط 100 فورا,,مفتاح خط,قطعة,,225,,,
71bf96bd,مفتاح خط ثنائي 100 فورا,,مفتاح خط,قطعة,,1340,,,
05b970b6,اب داون ٢ لمبه,,اب داون,قطعة,,32,,,
dd41d0ca,مفتاح خط 63 ثنائي فورا,,مفتاح خط,قطعة,,167,,,
4938231d,اب داون ٣ لمبه,,اب داون,قطعة,,47,,,
d838966c,خط اشاره كابتل,,مفتاح خط,قطعة,,9,,,
67dc6d32,اب داون ٤ لمبه,,اب داون,قطعة,,58,,,
7096f821,مفتاح خط ثلاثي 63 اليوس,,مفتاح خط,قطعة,,347,,,
f6ed04ba,مفتاح خط ثنائي 63 اليوس,,مفتاح خط,قطعة,,225,,,
ae85214c,مفتاح خط احادي اليوس,,مفتاح خط,قطعة,,68.5,,,
5d518039,فيشه نتايه كاوتشه بيرامديز,,فيشه براميدز,قطعة,,3.9,,,
fff42124,فيشه دكر كاوتشه بيرامدز,,فيشه براميدز,قطعة,,3.9,,,
6ac22563,مفتاح تكييف 45 شارلي,,مفتاح تكيف,قطعة,,85,,,
9e805da6,وصله 3.3,,وصله,قطعة,,11.5,,,
6715d5ce,وصله 3.1,,وصله,قطعة,,12.5,,,
65f16fd5,فيشه مسجل رصاصي,,فيشه,قطعة,,13.5,,,
29a26cf0,باره 3 فاز نحاس,,باره نحاس,قطعة,,85,,,
0ff66d58,سماعه سقف 7 سنتي,,سماعات,قطعة,,42,,,
773156f9,باره 2 فاز نحاس,,باره نحاس,قطعة,,42,,,
2362b222,مفتاح مروحه اكسلنت,,مفتاح مروحه,قطعة,,95,,,
b404b055,سماعه سقف 14 سنتي,,سماعات,قطعة,,185,,,
fa6b82fe,سداده فينوس,,فينوس,قطعة,,4.5,,,
4aa55781,مفتاح بلدي اليوس,,قطع بلدي,قطعة,,14.5,,,
3f7e1ba0,بريزه بلدي اليوس,,قطع بلدي,قطعة,,14.5,,,
38d8ef88,مفتاح نجف بلدي اليوس,,قطع بلدي,قطعة,,16.5,,,
691e8f03,قطعه دش  اسود معدل فورا,,فورا,قطعة,,7,,,
6ef4a336,بريزه قوه اليوس,,اليوس,قطعة,,19,,,
dd38afe9,قطعه دش ابيض معدل فورا,,فورا,قطعة,,7,,,
7471dd00,مفتاح بلبريزه اليوس,,اليوس,قطعة,,24,,,
6ce82be4,بريزه خارج اليوس,,اليوس,قطعة,,7.5,,,
f1873749,قطعه دش ابيض معدل فورا,,فورا,قطعة,,7,,,
78846382,مفتاح خارج اليوس,,اليوس,قطعة,,14,,,
3dd270e8,قطعه دش فينوس,,فينوس,قطعة,,22,,,
45f7a42d,ترنز 100 وات براميدز,,ترنز ليد,قطعة,,105,,,
ba451cf1,لمبه كاسه 3 حركه vib,,لمبات,قطعة,,16.5,,,
fbb9158b,ترنز 300 وات براميدز,,ترنز ليد,قطعة,,185,,,
0aa85aac,ترنز 200 وات باور,,ترنز ليد,قطعة,,155,,,
f93fab36,ترنز 150 وات براميدز,,ترنز ليد,قطعة,,135,,,
23cc1138,ترنز 400وات باور,,ترنز ليد,قطعة,,215,,,
7b63d3e6,لفه سلك 35 مللي سويدي,,سلك سويدي,قطعة,,1350,,,
15a35599,لفه سلك 25 مللي المونيوم المصريه,,سلك المصريه,قطعة,,2450,,,
e9f9af1d,لفه سلك 35 مللي سويدكس,,سلك سويدكس,قطعة,,4410,,,
e75cd4ee,لمبه 120 سم ليد ريمونتدا,,لمبه 120 سم,قطعة,,54,,,
dd968785,لمبه 35 وات شعبي,,لمبات,قطعة,,27,,,
3efc54c8,لمبه 45 وات شعبي,,لمبات,قطعة,,38,,,
3659bbc5,لمبه 45 وات لاكوست,,لمبات,قطعة,,58,,,
a74ef34f,لمبه 55 وات ريمونتدا,,لمبات,قطعة,,98,,,
b18f11b1,لمبه 15 وات اطلاي,,لمبات,قطعة,,29,,,
35fbb4c7,لمبه 12 وات اطلاي,,لمبات,قطعة,,21.5,,,
be1b04e4,دوايه ليزر افينا,,دوايه ليزر,قطعة,,15.5,,,
56858af6,دوايه ليزر ديوان,,دوايه ليزر,قطعة,,11.75,,,
c5cf6d16,لمبه 12 وات شعبي,,لمبات,قطعة,,9.5,,,
5f764e74,لمبه 9 وات شعبي,,لمبات,قطعة,,7.5,,,
79321446,لمبه 55 وات ديوان,,لمبات,قطعة,,50,,,
8c009ec8,لمبه 55 وات بولكس,,لمبات,قطعة,,85,,,
2394f02c,لمبه 15 وات الترا,,لمبات,قطعة,,31,,,
e075367b,لمبه 12 وات الترا,,لمبات,قطعة,,24,,,
d471abd5,لمبه 15 وات شعبي,,لمبات,قطعة,,14,,,
ecce7356,كرتونه علبه ماجيك مفرد الموسسه,,علبه ماجيك,قطعة,,620,,,
54bee6b0,كرتونه علبه ماجيك مجوز راسي,,علبه ماجيك,قطعة,,480,,,
0c12e4c8,لوحه 8 خط الملكه,,لوحات,قطعة,,65,,,
bf09c9bc,لوحه 4 خط سوبر,,لمبات,قطعة,,46,,,
c7550a99,كرتونه علبه ماجيك مجوز الفاروق,,علبه ماجيك,قطعة,,510,,,
da05f02c,كرتونه علبه ماجيك مفرد الفاروق,,علبه ماجيك,قطعة,,360,,,
fb27d2f3,اسبوط عين بقره ليد Am,,كلوب عين بقره,قطعة,,90,,,
43f3c4f3,طاره بوتجاز صيني,,طاره بوتجاز,قطعة,,68,,,
f310deb4,متر سلك 35 مللي المونيوم,,متر سلك,قطعة,,18,,,
46e40a1e,متر سلك 25 مللي المونيوم,,متر سلك,قطعة,,16,,,
29c1d464,تراك 30 وات وررم,,تراك,قطعة,,136,,,
72a24d26,ترنز الكتروني,,ترنز الكتروني,قطعة,,24.5,,,
df76a019,مكنه سلم اسباني,,مكنه سلم,قطعة,,115,,,
9186eabc,قطعه نت الفاروق,,الفاروق,قطعة,,65,,,
0a6e0d96,وناسه فينوس,,فينوس,قطعة,,130,,,
d20cada8,مفتاح جرس عريض فينوس,,فينوس,قطعة,,47,,,
47705147,قطعه ديجاتوري فينوس,,فينوس,قطعة,,48,,,
d6d209ec,لوحه 13 خط الحجاز بلاص,,لوحات,قطعة,,215,,,
368f9c05,لوحه 9 خط الحجاز بلاص,,لوحات,قطعة,,175,,,
81a359bc,كرتونه علبه ماجيك مفرد م+م,,علبه ماجيك,قطعة,,1260,,,
e784eb44,كرتونه علبه ماجيك مجوز راسي م+م,,علبه ماجيك,قطعة,,1185,,,
6994a012,لمبه 18 وات لاكوست,,لمبات,قطعة,,40,,,
51cf1519,عازل صيني,,عازل,قطعة,,21,,,
30c2a79e,لفه سلك مجدول 1 مللي الاوربيه,,سلك مجدول,قطعة,,620,,,
ec6d4a23,لفه سلك مجدول نص مللي الدلتا,,سلك مجدول,قطعة,,360,,,
a08188be,لفه سلك 16 مللي المونيوم السويدي,,سلك سويدي,قطعة,,950,,,
0c8aee2a,لفه سلك 6 مللي سويدي,,سلك سويدي,قطعة,,2200,,,
1ca788c3,لفه سلك 4 مللي سويدي,,سلك سويدي,قطعة,,1160,,,
cbdb7b5d,لفه سلك 3 مللي سويدي,,سلك سويدي,قطعة,,1350,,,
3e52ecd4,لفه سلك 2 مللي سويدي,,سلك سويدي,قطعة,,1250,,,
80c2fdf4,لفه سلك 1 ونص مللي سويدي,,سلك سويدي,قطعة,,460,,,
fbbe498e,لفه سلك 2.2 ترمو انتمونيوم,,سلك ترمو,قطعة,,420,,,
d92ec890,لفه سلك 2.1 ترمو الدلتا,,سلك ترمو,قطعة,,732,,,
c036d632,لفه سلك 2.2 ترمو الدلتا,,سلك ترمو,قطعة,,1405,,,
a991fdb1,لفه سلك ترمو 2.2 ترمو الاوربيه,,سلك ترمو,قطعة,,1330,,,
0a6759c0,لفه سلك 2.4 ترمو المصريه,,سلك ترمو,قطعة,,3450,,,
0a02f034,لفه سوسته 23 مللي ابيض,,سوسته سقف,قطعة,,120,,,
4ea7bed4,لفه سوسته 16 مللي ابيض,,سوسته سقف,قطعة,,65,,,
111a33e5,لفه سوسته 16 مللي احمر,,سوسته سقف,قطعة,,28,,,
8610ab16,لفه سوسته 13 مللي رصاصي,,سوسته سقف,قطعة,,48,,,
95b031ce,شوال بواط سقف السلام,,شوال بواط سقف,قطعة,,570,,,
b046e79d,لفه خرطوم سقف صغير 2800 خامه,,خرطوم سقف,قطعة,,270,,,
00f8e449,لفه خرطوم سقف وسط 3400 خامه,,خرطوم سقف,قطعة,,340,,,
597584f1,لفه خرطوم سقف كبير 4400 خامه,,خرطوم سقف,قطعة,,440,,,
e8b3b563,لفه سوسته 13مللي نصر الحجاز,,سوسته سقف,قطعة,,78,,,
4cb24f69,لفه سوسته 11 مللي نصر الحجاز,,سوسته سقف,قطعة,,38,,,
a245e67c,شوال كب 50 مللي م+م,,شوال كب,قطعة,,937,,,
3833e5a6,شوال كب 63 مللي عاده,,شوال كب,قطعة,,380,,,
51420ab8,لفه سوسته 40 متر واير,,سوسته واير,قطعة,,190,,,
138604ac,لوحه 24 خط اسمارت,,لوحات,قطعة,,640,,,
dce6f11b,لوحه 18 خط بيتا,,لوحات,قطعة,,1280,,,
1602228b,صاعد 30.30,,صاعد صاج,قطعة,,135,,,
17335f80,بواط 10.10,,بواط,قطعة,,6.4,,,
be9cd614,بواط 10.15,,بواط,قطعة,,10.3,,,
ea1bbfd5,لوحه 24 خط بيتا,,لوحات,قطعة,,1490,,,
a58a89dc,بواط 20.20 اسمارت,,بواط,قطعة,,110,,,
e139f7c6,لفه سوسته 16 مللي نصر الحجاز,,سوسته سقف,قطعة,,95,,,
16413153,لفه سوسته 13 مللي ابيض,,سوسته سقف,قطعة,,82,,,
12d32e66,لفه سوسته 11 مللي نصر الحجاز,,سوسته سقف,قطعة,,47,,,
a1cd4a86,لفه سوسته 13 مللي ابيض,,سوسته سقف,قطعة,,49,,,
2cc5e8bf,لفه سوسته 16 مللي احمر,,سوسته سقف,قطعة,,28,,,
e41df84b,لفه سوسته 13 مللي احمر,,سوسته سقف,قطعة,,28,,,
f173fca6,لفه سوسته 16 مللي احمر فسفوري,,سوسته سقف,قطعة,,60,,,
1c1a09cd,لفه سوسته 11 مللي نصر الحجاز,,سوسته سقف,قطعة,,47,,,
3d444165,لفه سوسته 11 مللي ابيض,,سوسته سقف,قطعة,,37,,,
d1667fcf,بواط سقف 4 مخرج السلام,,بواط,قطعة,,585,,,
a5809319,شوال خابور خشب,,شوال خابور خشب,قطعة,,780,,,
fd557d9c,لفه سوسته 16 مللي احمر,,سوسته سقف,قطعة,,28,,,
35288fa3,لفه سوسته 23 مللي 25 يناير,,سوسته سقف,قطعة,,115,,,
152f99c0,لفه سوسته 29 مللي م+م,,سوسته سقف,قطعة,,1300,,,
68032725,لفه سوسته 11 مللي م+م,,سوسته سقف,قطعة,,62,,,
6f4c3c40,لفه سوسته 11 مللي 25 يناير,,سوسته سقف,قطعة,,58,,,
323224b2,لفه سوسته 13 مللي م+م,,سوسته سقف,قطعة,,92,,,
486c22e8,لفه خرطوم سقف 4400 خامه,,خرطوم سقف,قطعة,,440,,,
bdfbeca5,لفه سوسته 23 مللي م+م,,سوسته سقف,قطعة,,125,,,
a4b487cf,لفه سوسته 16 مللي م+م احمر,,سوسته سقف,قطعة,,30,,,
d8469713,لفه سوسته 16 مللي فسفوري,,سوسته سقف,قطعة,,68,,,
c6ce4cfd,لفه خرطوم سقف 29 مللي م+ م باور,,خرطوم سقف,قطعة,,975,,,
9bf4632e,لفه خرطوم سقف باور 16 مللي 90 متر,,خرطوم سقف,قطعة,,530,,,
e1c9808f,لفه خرطوم 23 مللي العاصمه,,خرطوم سقف,قطعة,,1020,,,
a72d604b,لفه خرطوم سقف 23 مللي م+م,,خرطوم سقف,قطعة,,1100,,,
71cdd33c,لفه خرطوم سقف 16 مللي 25 يناير,,خرطوم سقف,قطعة,,630,,,
d13d539f,لفه خرطوم سقف 23 مللي خامه 5 كيلو,,خرطوم سقف,قطعة,,700,,,
e96db18f,وصله واير ليس,,وصله,قطعة,,12.5,,,
42614f3e,وصله فراشه,,وصله,قطعة,,17,,,
d5cbb3e5,لفه خرطوم 32 مللي ابيض 25 يناير,,خرطوم سقف,قطعة,,1100,,,
016332a8,علبه فيشر بلمسمار ٦ مللي,,فيشر,قطعة,,12,,,
7517211c,لفه سوسته حراري 25 مللي,,سوسته واير,قطعة,,110,,,
8ce4ea0f,لفه سوسته حراري 13 مللي,,سوسته واير,قطعة,,130,,,
a779c51b,لفه سوسته حراري 11 مللي,,سوسته واير,قطعة,,95,,,
e7e1255b,لفه خرطوم سقف 32 مللي 25 يناير,,خرطوم سقف,قطعة,,1100,,,
45446b32,لمبه كاسه وررم ليد لايك,,لمبات,قطعة,,15.5,,,
81f872e8,لمبه كاسه 5 وات vib,,لمبات,قطعة,,15.5,,,
f7ec5e4f,م+ب ماجيك,,قطع ماجيك,قطعة,,9.5,,,
0d0c7020,مشترك 5 متر عضم,,مشترك,قطعة,,85,,,
9119e88c,طقم دوايه ليد,,دوايه ليد,قطعة,,7,,,
0dbd65c0,وش بورسعيدي 1.2.3,,وش بورسعيدي,قطعة,,6.9,,,
1a867237,مشترك 1 ونص الملكه,,مشترك,قطعة,,165,,,
0a3e5ef2,مفتاح خط ثنائي براميدز,,مفتاح خط,قطعة,,108,,,
6dbdffae,مفتاح خط مفرد 10 +16 براميدز,,مفتاح خط,قطعة,,50,,,
0fb9aee1,مفتاح خط ثلاثي براميدز,,مفتاح خط,قطعة,,168,,,
85028440,مفتاح خط مفرد 20+25+32 براميدز,,مفتاح خط,قطعة,,50,,,
292b32e4,مفتاح خط احادي 20 براميدز,,مفتاح خط,قطعة,,50,,,
